,county,inmate_num,non_inmate_num,month,2020
26,Monterey,44.0,323.0,5,1
27,Napa,-0.0,81.0,5,1
28,Nevada,0.0,0.0,5,1
29,Orange,-0.0,0.0,5,1
30,Placer,41.0,81.0,5,1
31,Plumas,-0.0,0.0,5,1
32,Riverside,166.0,1141.0,5,1
33,Sacramento,-0.0,0.0,5,1
34,San Benito,-0.0,26.0,5,1
35,San Bernardino,81.0,-0.0,5,1
36,San Diego,134.0,846.0,5,1
37,San Joaquin,-0.0,81.0,5,1
38,San Luis Obispo,70.0,357.0,5,1
39,San Mateo,-0.0,0.0,5,1
40,Santa Barbara,-0.0,625.0,5,1
41,Santa Clara,-0.0,163.0,5,1
42,Santa Cruz,0.0,0.0,5,1
43,Shasta,5.0,199.0,5,1
44,Sierra,-0.0,45.0,5,1
45,Siskiyou,41.0,26.0,5,1
46,Solano,0.0,0.0,5,1
47,Sonoma,-0.0,163.0,5,1
48,Stanislaus,-0.0,163.0,5,1
49,Sutter,-0.0,0.0,5,1
50,Tehama,99.0,142.0,5,1
51,Trinity,0.0,0.0,5,1
52,Tulare,91.0,113.0,5,1
53,Tuolumne,40.0,-0.0,5,1
54,Ventura,7.0,238.0,5,1
55,Yolo,-0.0,122.0,5,1
56,Yuba,-0.0,0.0,5,1
0,Alameda,-0.0,613.0,6,0
1,Alpine,-0.0,0.0,6,0
2,Amador,80.0,56.0,6,0
3,Butte,-0.0,419.0,6,0
4,Calaveras,114.0,55.0,6,0
5,Colusa,0.0,0.0,6,0
6,Contra Costa,-0.0,326.0,6,0
7,Del Norte,40.0,-0.0,6,0
8,El Dorado,120.0,43.0,6,0
9,Fresno,80.0,696.0,6,0
10,Glenn,120.0,125.0,6,0
11,Humboldt,81.0,-0.0,6,0
12,Imperial,-0.0,0.0,6,0
13,Inyo,120.0,43.0,6,0
14,Kern,-0.0,870.0,6,0
15,Kings,-0.0,0.0,6,0
16,Lake,100.0,86.0,6,0
17,Lassen,200.0,125.0,6,0
18,Los Angeles,680.0,259.0,6,0
19,Madera,-0.0,119.0,6,0
20,Marin,-0.0,81.0,6,0
21,Mariposa,100.0,8.0,6,0
22,Mendocino,200.0,157.0,6,0
23,Merced,-0.0,255.0,6,0
24,Modoc,100.0,2.0,6,0
25,Mono,120.0,108.0,6,0
26,Monterey,120.0,665.0,6,0
27,Napa,-0.0,243.0,6,0
28,Nevada,0.0,0.0,6,0
29,Orange,-0.0,163.0,6,0
30,Placer,100.0,390.0,6,0
31,Plumas,-0.0,0.0,6,0
32,Riverside,475.0,751.0,6,0
33,Sacramento,-0.0,408.0,6,0
34,San Benito,-0.0,26.0,6,0
